"";"id";"inDate";"forDate";"forTime";"dlFullPath";"rawDirFullPath";"rawFileName";"headlineFileFullPath";"isBentoLink";"isSpiegelPlusLink";"intro";"title";"section";"link"
"11";11;"2017-06-30";2017-06-20;2017-06-20 17:34:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Atommüll:";"Gericht erlaubt Castor-Transporte auf dem Neckar";"Wirtschaft";"http://spiegel.de/wirtschaft/soziales/atommuell-gericht-erlaubt-castor-transporte-auf-dem-neckar-a-1153188.html"
"12";12;"2017-06-30";2017-06-20;2017-06-20 17:29:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Zeitgleich zu Poroschenko-Besuch:";"USA erweitern Russland-Sanktionen";"Politik";"http://spiegel.de/politik/ausland/donald-trump-empfaengt-petro-poroschenko-usa-erweitern-russland-sanktionen-a-1153196.html"
"13";13;"2017-06-30";2017-06-20;2017-06-20 17:02:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Dieselautos mit Euro 5 und Euro 6:";"Baden-Württemberg will Hersteller zu Umrüstungen zwingen";"Auto";"http://spiegel.de/auto/aktuell/abgasskandal-baden-wuerttemberg-will-hersteller-zu-umruestung-zwingen-a-1153166.html"
"14";14;"2017-06-30";2017-06-20;2017-06-20 16:49:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"OnePlus 5 im Test:";"Ein bisschen Samsung, etwas Apple, nur billiger";"Netzwelt";"http://spiegel.de/netzwelt/gadgets/oneplus-5-im-test-ein-bisschen-samsung-etwas-apple-nur-billiger-a-1152917.html"
"15";15;"2017-06-30";2017-06-20;2017-06-20 16:48:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Helmut Kohl:";"Erst Trauerakt im Europaparlament - dann Begräbnis in Speyer";"Politik";"http://spiegel.de/politik/deutschland/helmut-kohl-trauerakt-im-europaparlament-vor-begraebnis-in-speyer-a-1153182.html"
"16";16;"2017-06-30";2017-06-20;2017-06-20 16:29:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Straßenblockade von Migranten:";"Tödlicher Unfall bei Calais";"Panorama";"http://spiegel.de/panorama/gesellschaft/calais-toedlicher-unfall-nach-strassen-blockade-von-migranten-a-1153183.html"
"17";17;"2017-06-30";2017-06-20;2017-06-20 16:28:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Champions League:";"Uefa lässt RB-Klubs Leipzig und Salzburg zu";"Sport";"http://spiegel.de/sport/fussball/fussball-rb-leipzig-darf-in-der-champions-league-antreten-a-1153186.html"
"18";18;"2017-06-30";2017-06-20;2017-06-20 16:27:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"NSU-Prozess:";"Beate Zschäpe in der Sackgasse";"Panorama";"http://spiegel.de/panorama/justiz/nsu-prozess-beate-zschaepe-in-der-sackgasse-a-1153161.html"
"19";19;"2017-06-30";2017-06-20;2017-06-20 16:25:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Schulz gegen Merkel:";"Das Duellchen";"Politik";"http://spiegel.de/politik/deutschland/martin-schulz-gegen-angela-merkel-beim-bdi-das-duellchen-a-1153135.html"
"20";20;"2017-06-30";2017-06-20;2017-06-20 16:23:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Berlin:";"Türkische Medien hetzen gegen liberale Moschee von Seyran Ates";"Politik";"http://spiegel.de/politik/deutschland/berlin-tuerkische-medien-hetzen-gegen-liberale-moschee-von-seyran-ates-a-1153071.html"
"21";21;"2017-06-30";2017-06-20;2017-06-20 16:00:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Gewalttat in Heidelberg:";"Polizist erschießt Bruder mit Dienstwaffe";"Panorama";"http://spiegel.de/panorama/justiz/heidelberg-polizist-erschiesst-bruder-mit-dienstwaffe-a-1153176.html"
"22";22;"2017-06-30";2017-06-20;2017-06-20 15:58:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Urteil zu ""Homosexuellen-Propaganda""-Gesetz in Russland:";"Diskriminierend - und wissenschaftlich völlig haltlos";"Panorama";"http://spiegel.de/panorama/justiz/russland-europaeischer-gerichtshof-fuer-menschenrechte-verurteilt-diskriminierung-homosexueller-a-1153133.html"
"23";23;"2017-06-30";2017-06-20;2017-06-20 15:52:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Front National:";"Jean-Marie Le Pen muss draußen bleiben";"Politik";"http://spiegel.de/politik/ausland/front-national-in-frankreich-jean-marie-le-pen-muss-draussen-bleiben-a-1153168.html"
"24";24;"2017-06-30";2017-06-20;2017-06-20 15:50:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Denkwürdige Sean-Spicer-Auftritte:";"""Manchmal werden wir die Fakten unterschiedlich interpretieren""";"Politik";"http://spiegel.de/video/video-1776137.html"
"25";25;"2017-06-30";2017-06-20;2017-06-20 15:41:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Angeblicher Steuerbetrug:";"Ronaldo muss vor Gericht aussagen";"Sport";"http://spiegel.de/sport/fussball/cristiano-ronaldo-muss-vor-gericht-wegen-angeblichen-steuerbetrugs-aussagen-a-1153129.html"
"26";26;"2017-06-30";2017-06-20;2017-06-20 15:15:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;TRUE;"Bibi, Hanne und Co.:";"So funktioniert das Geschäft der YouTube-Stars";"Wirtschaft";"http://spiegel.de/spiegel/bibi-hanne-und-co-so-funktioniert-das-geschaeft-der-youtube-stars-a-1153088.html"
"27";27;"2017-06-30";2017-06-20;2017-06-20 15:15:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Meldefrist zur Bundestagswahl:";"AfD in Niedersachsen muss zittern";"Politik";"http://spiegel.de/politik/deutschland/betrugsvorwuerfe-niedersachsen-afd-will-landesliste-vorerst-nicht-neu-waehlen-a-1153148.html"
